Country,Indicator,Value
 United States,Imports,2568396
 European Union,Imports,2335303
 China,Imports,2068950
 Germany,Imports,1236298
 Japan,Imports,720964
 United Kingdom,Imports,692580
 Netherlands,Imports,646752
 France,Imports,637949
 Hong Kong (CN),Imports,578590
 South Korea,Imports,503259
 India,Imports,478883
 Italy,Imports,473562
 Mexico,Imports,467293
 Canada,Imports,453157
 Belgium,Imports,426489
 Spain,Imports,375485
 Singapore,Imports,359008
 Taiwan,Imports,285906
  Switzerland,Imports,277207
 Vietnam,Imports,271111
 Poland,Imports,246653
 Russia,Imports,243780
 Thailand,Imports,240139
 Australia,Imports,214273
 European Union,Exports,7698638
 China,Exports,2643377
 United States,Exports,2498032
 Germany,Exports,1810933
 Japan,Exports,904883
 United Kingdom,Exports,891875
 France,Exports,882761
 Netherlands,Exports,750172
 South Korea,Exports,669594
 Hong Kong,Exports,648982
 Singapore,Exports,645612
 Italy,Exports,632619
 Canada,Exports,548717
 India,Exports,545706
 Ireland,Exports,492706
 Mexico,Exports,491674
 Spain,Exports,486053
 Russia,Exports,481493
  Switzerland,Exports,458921
 Belgium,Exports,431902
 Australia,Exports,342651
 Poland,Exports,329839
Thailand,Exports,324991
Saudi Arabia,Exports,285712
