Country,Item,Value ( Billions USD)
Afghanistan,Machinery and transport equipment,6.27
Albania,Other manufactured goods,1.94
Algeria,Machinery and transport equipment,22.22
American Samoa,Mineral fuels and related materials,0.11
Andorra,Other manufactured goods,0.71
Angola,Machinery and transport equipment,13.45
Anguilla,Machinery and transport equipment,0.07
Antarctica,Other manufactured goods,1.28
Antigua and Barbuda,Mineral fuels and related materials,3.28
Argentina,Machinery and transport equipment,32.16
Armenia,Mineral fuels and related materials,1.10
Aruba,Mineral fuels and related materials,2.61
Australia,Machinery and transport equipment,92.85
Austria,Machinery and transport equipment,60.10
Azerbaijan,Machinery and transport equipment,6.02
Bahamas,Mineral fuels and related materials,5.58
Bahrain,Machinery and transport equipment,8.47
Bangladesh,Other manufactured goods,17.36
Barbados,Mineral fuels and related materials,7.14
Belarus,Mineral fuels and related materials,19.27
Belgium,Other manufactured goods,117.44
Belize,Mineral fuels and related materials,5.57
Benin,Other manufactured goods,3.64
Bermuda,Machinery and transport equipment,3.69
Bhutan,Machinery and transport equipment,0.22
Bolivia,Machinery and transport equipment,3.83
Bosnia and Herz.,Other manufactured goods,3.01
Botswana,Other manufactured goods,3.95
Brazil,Machinery and transport equipment,89.70
Brunei,Other manufactured goods,3.37
Bulgaria,Machinery and transport equipment,9.82
Burkina Faso,Machinery and transport equipment,0.79
Burundi,Mineral fuels and related materials,0.21
Cambodia,Other manufactured goods,8.02
Cameroon,Mineral fuels and related materials,3.03
Canada,Machinery and transport equipment,180.04
Côte d'Ivoire,Other manufactured goods,0.29
Central African Rep.,Mineral fuels and related materials,0.48
Chad,Machinery and transport equipment,0.75
Chile,Machinery and transport equipment,24.84
China,Machinery and transport equipment,647.01
Colombia,Machinery and transport equipment,21.55
Comoros,Other manufactured goods,0.21
Costa Rica,Machinery and transport equipment,5.48
Croatia,Other manufactured goods,9.09
Cuba,Machinery and transport equipment,2.86
Cyprus,Machinery and transport equipment,6.79
Czechia,Machinery and transport equipment,67.24
Dem. Rep. Congo,Machinery and transport equipment,2.24
Denmark,Machinery and transport equipment,33.38
Djibouti,Other manufactured goods,2.02
Dominica,Other manufactured goods,0.14
Dominican Rep.,Other manufactured goods,5.20
Ecuador,Machinery and transport equipment,7.52
Egypt,Machinery and transport equipment,23.14
El Salvador,Other manufactured goods,2.69
Eq. Guinea,Mineral fuels and related materials,6.85
Eritrea,Machinery and transport equipment,0.30
Estonia,Machinery and transport equipment,7.18
Ethiopia,Mineral fuels and related materials,4.31
Fiji,Machinery and transport equipment,0.83
Finland,Machinery and transport equipment,39.45
France,Machinery and transport equipment,242.54
Gabon,Machinery and transport equipment,2.12
Georgia,Machinery and transport equipment,2.79
Germany,Machinery and transport equipment,424.96
Ghana,Machinery and transport equipment,6.22
Greece,Mineral fuels and related materials,24.36
Greenland,Mineral fuels and related materials,0.26
Grenada,Mineral fuels and related materials,0.11
Guatemala,Other manufactured goods,4.28
Guinea,Other manufactured goods,1.19
Guinea-Bissau,"Food, beverages and tobacco",0.18
Guyana,Mineral fuels and related materials,1.35
Haiti,Other manufactured goods,1.43
Honduras,Other manufactured goods,4.35
Hong Kong,Machinery and transport equipment,394.74
Hungary,Machinery and transport equipment,49.64
Iceland,Mineral fuels and related materials,3.55
India,Mineral fuels and related materials,193.17
Indonesia,Machinery and transport equipment,67.49
Iran,Machinery and transport equipment,34.31
Iraq,Machinery and transport equipment,27.63
Ireland,Machinery and transport equipment,34.42
Israel,Other manufactured goods,29.00
Italy,Mineral fuels and related materials,175.19
Ivory Coast,Mineral fuels and related materials,5.19
Jamaica,Mineral fuels and related materials,3.39
Japan,Mineral fuels and related materials,261.64
Jordan,Other manufactured goods,7.40
Kazakhstan,Other manufactured goods,18.58
Kenya,Other manufactured goods,6.73
Kiribati,Machinery and transport equipment,0.08
Kosovo,Machinery and transport equipment,5.34
Kuwait,Machinery and transport equipment,16.11
Kyrgyzstan,Other manufactured goods,9.37
Laos,Machinery and transport equipment,3.16
Latvia,Mineral fuels and related materials,14.64
Lebanon,Other manufactured goods,7.31
Lesotho,Other manufactured goods,0.63
Liberia,Machinery and transport equipment,15.93
Libya,Machinery and transport equipment,10.67
Lithuania,Machinery and transport equipment,7.92
Luxembourg,Machinery and transport equipment,10.71
 Macau,Other manufactured goods,5.76
Madagascar,Other manufactured goods,1.29
Malawi,Other manufactured goods,0.64
Malaysia,Machinery and transport equipment,83.81
Maldives,Machinery and transport equipment,0.57
Mali,Machinery and transport equipment,1.14
Malta,Mineral fuels and related materials,7.95
Mauritania,Other manufactured goods,1.10
Mauritius,Other manufactured goods,1.50
Mexico,Machinery and transport equipment,182.62
 Federated States of Micronesia,"Food, beverages and tobacco",0.09
Moldova,Mineral fuels and related materials,1.64
Monaco,Clothing,0.00
Mongolia,Machinery and transport equipment,2.81
Montenegro,Other manufactured goods,1.14
Morocco,Machinery and transport equipment,12.92
Mozambique,Mineral fuels and related materials,4.88
Myanmar,Machinery and transport equipment,8.42
Namibia,Machinery and transport equipment,2.64
Nepal,Other manufactured goods,3.44
Netherlands,Mineral fuels and related materials,227.38
New Caledonia,Machinery and transport equipment,1.29
New Zealand,Machinery and transport equipment,13.61
Nicaragua,Other manufactured goods,2.37
Niger,Mineral fuels and related materials,1.96
Nigeria,Machinery and transport equipment,18.31
North Korea,Mineral fuels and related materials,1.79
North Macedonia,Other manufactured goods,3.13
Norway,Machinery and transport equipment,35.41
Oman,Machinery and transport equipment,14.14
Pakistan,Machinery and transport equipment,15.16
Palau,"Food, beverages and tobacco",0.06
Panama,Machinery and transport equipment,28.89
Papua New Guinea,Machinery and transport equipment,3.35
Paraguay,Machinery and transport equipment,4.62
Peru,Machinery and transport equipment,14.25
Philippines,Machinery and transport equipment,49.40
Poland,Machinery and transport equipment,81.96
Portugal,Machinery and transport equipment,28.98
Qatar,Machinery and transport equipment,17.89
Congo,Machinery and transport equipment,2.96
Romania,Machinery and transport equipment,30.67
Russia,Machinery and transport equipment,143.84
Rwanda,Machinery and transport equipment,0.60
Saint Kitts and Nevis,Mineral fuels and related materials,1.26
Saint Lucia,Mineral fuels and related materials,3.83
Saint Vincent and the Grenadines,Machinery and transport equipment,0.24
Samoa,Machinery and transport equipment,0.13
San Marino,Other manufactured goods,0.26
Sao Tome and Principe,Mineral fuels and related materials,0.12
Saudi Arabia,Machinery and transport equipment,79.66
Senegal,Mineral fuels and related materials,4.63
Serbia,Machinery and transport equipment,6.27
Seychelles,Machinery and transport equipment,0.43
Sierra Leone,Machinery and transport equipment,0.66
Singapore,Machinery and transport equipment,131.99
Slovakia,Machinery and transport equipment,30.22
Slovenia,Machinery and transport equipment,13.07
Solomon Islands,Mineral fuels and related materials,0.13
Somalia,"Food, beverages and tobacco",1.84
Somaliland,"Food, beverages and tobacco",0.64
South Africa,Machinery and transport equipment,40.66
South Korea,Mineral fuels and related materials,177.70
S. Sudan,"Food, beverages and tobacco",0.28
Spain,Machinery and transport equipment,136.49
Sri Lanka,Machinery and transport equipment,7.19
State of Palestine,Machinery and transport equipment,0.37
Sudan,Machinery and transport equipment,4.04
Suriname,Machinery and transport equipment,0.71
Swaziland,Other manufactured goods,0.60
Sweden,Machinery and transport equipment,57.50
Switzerland,Other manufactured goods,89.41
Syria,Machinery and transport equipment,5.60
Taiwan,Machinery and transport equipment,79.60
Tajikistan,Other manufactured goods,2.44
Tanzania,Other manufactured goods,4.39
Thailand,Machinery and transport equipment,82.67
The Gambia,Other manufactured goods,0.55
Timor-Leste,Machinery and transport equipment,0.60
Togo,Mineral fuels and related materials,7.59
Tonga,Machinery and transport equipment,0.05
Trinidad and Tobago,Mineral fuels and related materials,2.96
Tunisia,Other manufactured goods,7.41
Turkey,Machinery and transport equipment,65.07
Turkmenistan,Machinery and transport equipment,4.44
Uganda,Machinery and transport equipment,1.37
Ukraine,Mineral fuels and related materials,35.67
United Arab Emirates,Machinery and transport equipment,92.79
United Kingdom,Machinery and transport equipment,227.18
United States of America,Machinery and transport equipment,1012.98
Uruguay,Machinery and transport equipment,4.66
Uzbekistan,Machinery and transport equipment,5.56
Vanuatu,Machinery and transport equipment,0.74
Venezuela,Machinery and transport equipment,22.82
Vietnam,Machinery and transport equipment,94.65
Yemen,Mineral fuels and related materials,7.05
Zambia,Machinery and transport equipment,2.60
Zimbabwe,Mineral fuels and related materials,2.31
W. Sahara,Mineral fuels and related materials,0.08
